INFO-New Info Session
INFO-[40.72888888888712, -50.311111111111074]
INFO-[81.40444444444293, -50.311111111111074]
INFO-[81.68888888888738, -50.311111111111074]
INFO-[81.97333333333182, -50.311111111111074]
INFO-[82.25777777777627, -50.311111111111074]
INFO-[82.54222222222072, -50.311111111111074]
INFO-[82.82666666666516, -50.311111111111074]
INFO-[83.11111111110961, -50.311111111111074]
INFO-[83.39555555555405, -50.311111111111074]
INFO-[83.6799999999985, -50.311111111111074]
INFO-[83.96444444444295, -50.311111111111074]
INFO-[84.2488888888874, -50.311111111111074]
INFO-[84.53333333333184, -50.311111111111074]
INFO-[84.81777777777629, -50.311111111111074]
INFO-[85.10222222222073, -50.311111111111074]
INFO-[85.38666666666518, -50.311111111111074]
INFO-[85.67111111110962, -50.311111111111074]
INFO-[85.95555555555407, -50.311111111111074]
INFO-[86.23999999999852, -50.311111111111074]
INFO-[86.52444444444296, -50.311111111111074]
INFO-[86.80888888888741, -50.311111111111074]
INFO-[87.09333333333186, -50.311111111111074]
INFO-[87.3777777777763, -50.311111111111074]
INFO-[87.66222222222075, -50.311111111111074]
INFO-[87.9466666666652, -50.311111111111074]
INFO-[88.23111111110964, -50.311111111111074]
INFO-[88.51555555555409, -50.311111111111074]
INFO-[88.79999999999853, -50.311111111111074]
INFO-[89.08444444444298, -50.311111111111074]
INFO-[89.36888888888743, -50.311111111111074]
INFO-[89.65333333333187, -50.311111111111074]
INFO-[89.93777777777632, -50.311111111111074]
INFO-[90.22222222222076, -50.311111111111074]
INFO-[90.50666666666521, -50.311111111111074]
INFO-[90.79111111110966, -50.311111111111074]
INFO-[91.0755555555541, -50.311111111111074]
INFO-[91.35999999999855, -50.311111111111074]
INFO-[91.644444444443, -50.311111111111074]
INFO-[91.92888888888744, -50.311111111111074]
INFO-[92.21333333333189, -50.311111111111074]
INFO-[92.49777777777634, -50.311111111111074]
INFO-[92.78222222222078, -50.311111111111074]
INFO-[93.06666666666523, -50.311111111111074]
INFO-[93.35111111110967, -50.311111111111074]
INFO-[93.63555555555412, -50.311111111111074]
INFO-[93.91999999999857, -50.311111111111074]
INFO-[94.20444444444301, -50.311111111111074]
INFO-[94.48888888888746, -50.311111111111074]
INFO-[94.7733333333319, -50.311111111111074]
INFO-[95.05777777777635, -50.311111111111074]
INFO-[95.3422222222208, -50.311111111111074]
INFO-[95.62666666666524, -50.311111111111074]
INFO-[95.91111111110969, -50.311111111111074]
INFO-[96.19555555555414, -50.311111111111074]
INFO-[96.47999999999858, -50.311111111111074]
INFO-[96.76444444444303, -50.311111111111074]
INFO-[97.04888888888748, -50.311111111111074]
INFO-[97.33333333333192, -50.311111111111074]
INFO-[97.61777777777637, -50.311111111111074]
INFO-[97.90222222222081, -50.311111111111074]
INFO-[98.18666666666526, -50.311111111111074]
INFO-[98.4711111111097, -50.311111111111074]
INFO-[98.75555555555415, -50.311111111111074]
INFO-[99.0399999999986, -50.311111111111074]
INFO-[99.32444444444305, -50.311111111111074]
INFO-[99.60888888888749, -50.311111111111074]
INFO-[99.89333333333194, -50.311111111111074]
INFO-[100.17777777777638, -50.311111111111074]
INFO-[100.46222222222083, -50.311111111111074]
INFO-[100.74666666666528, -50.311111111111074]
INFO-[101.03111111110972, -50.311111111111074]
INFO-[101.31555555555417, -50.311111111111074]
INFO-[101.59999999999862, -50.311111111111074]
INFO-[101.88444444444306, -50.311111111111074]
INFO-[102.16888888888751, -50.311111111111074]
INFO-[102.45333333333195, -50.311111111111074]
INFO-[102.7377777777764, -50.311111111111074]
INFO-[103.02222222222085, -50.311111111111074]
INFO-[103.3066666666653, -50.311111111111074]
INFO-[103.59111111110974, -50.311111111111074]
INFO-[103.87555555555419, -50.311111111111074]
INFO-[104.15999999999863, -50.311111111111074]
INFO-[104.44444444444308, -50.311111111111074]
INFO-[104.72888888888752, -50.311111111111074]
INFO-[105.01333333333197, -50.311111111111074]
INFO-[105.29777777777642, -50.311111111111074]
INFO-[105.58222222222086, -50.311111111111074]
INFO-[105.86666666666531, -50.311111111111074]
INFO-[106.15111111110976, -50.311111111111074]
INFO-[106.4355555555542, -50.311111111111074]
INFO-[106.71999999999865, -50.311111111111074]
